id,first_name,last_name,ssn,date_of_birth,veteran_status,substance_abuse_problem,entry_date,exit_date,clientguid,middle_name,primary_race,secondary_race,gender,ethnicity,disabling_condition,hud_chronic_homelessness,calculated_chronic_homelessness,chronic_health_condition,physical_disability,hivaids_status,mental_health_problem,domestic_violence,discharge_type,developmental_disability,us_citizen,asylee,lifetime_sex_offender,meth_production_conviction,id_in_data_source,calculated_first_homeless_night,calculated_last_homeless_night,source_last_changed,data_source_id,data_source_id_column_name,client_id,homephone,cellphone,workphone,pager,email,needs_update
479522,Dortha,Kulas,,,,Both alcohol and drug abuse,,,,,,,1,,1,,1,1,1,0,1,0,,,1,0,0,0,,9/20/06,10/16/15,10/16/15 22:20,,,,,, ,,,1
479549,Keegan,Terry,486805327,,,Alcohol abuse,,,,,,,9,,1,,1,1,1,0,1,0,,,1,0,0,0,,12/18/07,9/11/15,9/12/15 20:11,,,,,, ,,,1
479564,Garret,Pfeffer,,,,No,,,,,,,9,,1,,1,1,0,0,0,0,,,1,0,0,0,,1/31/07,3/28/15,10/5/15 10:30,,,,,, ,,,1
479637,Ezra,Farrell,552074720,8/17/64,,No,,,,,,,8,,1,,1,0,0,0,1,,,,1,0,0,0,,2/23/07,4/28/14,10/29/14 8:47,,,,,, ,,,1
479638,Hillary,Kessler,,,,Alcohol abuse,,,,,,,99,,1,,1,1,1,0,0,0,,,1,0,0,0,,2/24/07,12/15/14,7/24/15 9:58,,,,,, ,,,1
479726,Viva,Lebsack,,3/20/53,,Client doesn't know,,,,,,,99,,1,,1,1,1,0,1,1,,,1,0,0,0,,10/5/13,10/15/15,10/16/15 7:25,,,,,, ,,,1
479766,Devante,McGlynn,503337495,,1,Alcohol Abuse,,,,,,,99,,1,,1,0,1,0,1,,,,1,0,0,0,,3/10/07,1/16/14,9/13/14 6:49,,,,,, ,,,1
479888,Muhammad,O'Keefe,,3/19/81,,Drug Abuse,,,,,,,99,,1,,1,0,0,0,0,0,,,1,0,0,0,,5/29/07,10/10/15,10/11/15 3:58,,,,,, ,,,1
479909,Kaylee,Osinski,,,,Both alcohol and drug abuse,,,,,,,1,,1,,1,1,1,0,1,1,,,1,0,0,0,,6/11/07,6/29/14,10/9/15 13:02,,,,,, ,,,1
479955,,,611135207,,,Both alcohol and drug abuse,,,,,,,2,,1,,1,0,0,0,1,0,,,0,1,0,0,,6/24/07,5/11/15,7/23/15 9:48,,,,,, ,,,1
480035,Litzy,Quigley,,2/5/71,,Both alcohol and drug abuse,,,,,,,0,,1,,1,1,1,0,1,0,,,0,1,0,0,,4/6/07,10/30/14,4/7/15 16:54,,,,,, ,,,1
480043,Meredith,Haag,974931977,11/16/91,,Both alcohol and drug abuse,,,,,,,0,,1,,1,0,1,1,0,0,,,1,0,0,0,,8/5/07,10/15/15,10/16/15 4:00,,,,,, ,,,1
480096,Guy,Luettgen,,,1,Both Alcohol and Drug Abuse,,,,,,,0,,1,,1,1,1,0,1,0,,,1,0,0,0,,9/13/07,10/14/15,10/15/15 4:05,,,,,, ,,,1
480145,Osvaldo,Hirthe,8928,,,Alcohol abuse,,,,Wisozk,,,0,,1,,1,1,1,0,1,0,,,1,0,0,0,,9/9/07,10/4/15,10/5/15 4:23,,,,,, ,,,1
480187,Birdie,Kris,351485974,9/28/91,,Both alcohol and drug abuse,,,,,,,1,,1,,1,1,0,0,1,1,,,1,0,0,0,,9/17/07,7/6/15,10/8/15 10:25,,,,,, ,,,1
480269,Samson,Kreiger,,,,No,,,,,,,1,,1,,1,1,1,0,1,0,,,1,0,0,0,,10/27/07,1/15/15,1/20/15 8:49,,,,,, ,,,1
480270,Garfield,Flatley,,9/13/82,,No,,,,,,,0,,1,,1,0,0,0,1,0,,,1,0,0,0,,10/24/07,10/16/15,10/16/15 19:33,,,,,, ,,,1
480327,Malachi,Dicki,910209312,12/2/61,,Client refused,,,,,,,1,,1,,1,1,1,0,1,0,,,1,0,0,0,,11/21/07,10/16/15,10/16/15 18:15,,,,,, ,,,1
480330,Jake,Davis,5636,,,Alcohol abuse,,,,,,,1,,1,,1,1,0,0,1,1,,,1,0,0,0,,11/16/07,11/13/14,10/8/15 9:46,,,,,, ,,,1
480363,Luella,Jacobs,362130320,6/25/45,,No,,,,,,,2,,1,,1,0,1,0,0,0,,,1,0,0,0,,12/9/07,10/16/15,10/16/15 18:31,,,,,, ,,,1
480386,Lamont,Will,,2/11/63,,Alcohol abuse,,,,,,,0,,1,,1,0,1,0,1,0,,,1,0,0,0,,12/17/07,8/13/15,8/16/15 20:07,,,,,, ,,,1
480406,Janet,Smitham,,,,Both alcohol and drug abuse,,,,,,,0,,1,,1,1,1,0,1,0,,,1,0,0,0,,12/20/07,10/14/15,10/15/15 4:03,,,,,, ,,,1
480505,Otto,Rath,678079536,,,Alcohol abuse,,,,,,,0,,1,,1,0,0,0,1,1,,,1,0,0,0,,8/24/07,9/3/15,10/8/15 14:43,,,,,, ,,,1
480542,Joan,Gerhold,6086,,,,,,,,,,99,,1,,1,,1,,1,,,,1,0,0,0,,1/18/08,10/16/15,10/16/15 5:53,,,,,, ,,,1
480698,Lavonne,Pfannerstill,,,,Drug abuse,,,,,,,99,,1,,1,1,1,0,1,0,,,1,0,0,0,,2/11/08,10/16/15,10/16/15 0:16,,,,,, ,,,1
480718,Buford,Fisher,,,,Alcohol Abuse,,,,,,,99,,1,,1,0,1,0,1,1,,,1,0,0,0,,2/12/08,1/20/14,9/13/14 6:49,,,,,, ,,,1
480914,Jo,Reilly,999999999,3/28/70,,Drug abuse,,,,,,,99,,1,,1,1,0,1,1,0,,,1,0,0,0,,2/7/07,10/2/15,10/3/15 4:38,,,,,, ,,,1
480922,Julia,Stark,,11/5/84,,Drug abuse,,,,,,,9,,1,,1,1,1,0,1,1,,,1,0,0,0,,1/11/06,10/16/15,10/16/15 20:45,,,,,, ,,,1
480924,Mac,Reilly,,3/11/51,,No,,,,,,,9,,1,,1,0,0,0,1,0,,,1,0,0,0,,6/7/07,8/15/15,9/23/15 20:24,,,,,, ,,,1
480926,Agnes,Moen,,11/1/77,1,Both alcohol and drug abuse,,,,,,,9,,1,,1,1,0,0,1,0,,,1,0,0,0,,1/6/06,10/15/15,10/16/15 4:01,,,,,, ,,,1
